StyleNo,Brand,Name,Color,Upper,Desc,Sole,HSSCode,Origin,NettKG,SafetyISO,Properties,Sizing,Size,Price,VAT,Stock,EAN13,Alias,Clearance,NextDue
B 499B,GOOR,,Dark Tan/Navy,PU/Synthetic Suede,5 Eye Wing Capped Brogue Oxford Shoe,Resin Sole,64029991,CN,0.668,,,UK,11,13.95,Z,10,5050703574105,,,N,
B 499B,GOOR,,Dark Tan/Navy,PU/Synthetic Suede,5 Eye Wing Capped Brogue Oxford Shoe,Resin Sole,64029991,CN,0.668,,,UK,12,13.95,Z,14,5050703574112,,,N,
B 499B,GOOR,,Dark Tan/Navy,PU/Synthetic Suede,5 Eye Wing Capped Brogue Oxford Shoe,Resin Sole,64029991,CN,0.668,,,UK,13,13.95,Z,20,5050703574129,,,N,
B 499B,GOOR,,Dark Tan/Navy,PU/Synthetic Suede,5 Eye Wing Capped Brogue Oxford Shoe,Resin Sole,64029991,CN,0.668,,,UK,1,13.95,Z,20,5050703574044,,,N,
B 499B,GOOR,,Dark Tan/Navy,PU/Synthetic Suede,5 Eye Wing Capped Brogue Oxford Shoe,Resin Sole,64029991,CN,0.668,,,UK,2,13.95,Z,20,5050703574051,,,N,
B 499B,GOOR,,Dark Tan/Navy,PU/Synthetic Suede,5 Eye Wing Capped Brogue Oxford Shoe,Resin Sole,64029991,CN,0.668,,,UK,3,13.95,Z,20,5050703574068,,,N,
B 499B,GOOR,,Dark Tan/Navy,PU/Synthetic Suede,5 Eye Wing Capped Brogue Oxford Shoe,Resin Sole,64029991,CN,0.668,,,UK,4,13.95,Z,20,5050703574075,,,N,
B 499B,GOOR,,Dark Tan/Navy,PU/Synthetic Suede,5 Eye Wing Capped Brogue Oxford Shoe,Resin Sole,64029991,CN,0.668,,,UK,5,13.95,Z,20,5050703574082,,,N,
B 499B,GOOR,,Dark Tan/Navy,PU/Synthetic Suede,5 Eye Wing Capped Brogue Oxford Shoe,Resin Sole,64029991,CN,0.668,,,UK,5.5,13.95,Z,19,5050703574136,,,N,
B 501A,US BRASS,,Black,PU,Twin Gusset Casual,PVC Sole,64029991,CN,0.58,,,UK,1,9.49,Z,0,5050703347419,,,N,
B 501A,US BRASS,,Black,PU,Twin Gusset Casual,PVC Sole,64029991,CN,0.58,,,UK,2,9.49,Z,20,5050703347426,,,N,
